driv_age_band,bonus_malus_band,rows,exposure,observed_claims,glm_pred_claims,tabm_mini_pred_claims,observed_frequency,glm_frequency,tabm_mini_frequency,tabm_minus_glm_frequency,tabm_to_glm_ratio,tabm_minus_glm_claims_per_1000_exposure,abs_claim_delta_per_1000_exposure
70+,51-75,481,304.77545166015625,47.0,33.4444580078125,45.11366271972656,0.15421189516407624,0.10973475004510917,0.14802262608089292,0.03828787603578374,1.348912956197053,38.28787603578374,38.28787603578374
18-24,101+,236,111.63644409179688,46.0,20.637998580932617,24.50356674194336,0.41205182030139664,0.18486793223154185,0.2194943321716201,0.03462639994007823,1.1873034415547508,34.62639994007823,34.62639994007823
18-24,51-75,187,106.1091537475586,5.0,10.032794952392578,6.991840362548828,0.04712128806432067,0.09455164420839061,0.06589290476468153,-0.028658739443709093,0.6968985607426815,-28.65873944370909,28.65873944370909
60-69,51-75,875,472.769287109375,55.0,53.65626525878906,65.80403137207031,0.11633581431713387,0.113493551129043,0.13918846500036405,0.025694913871321064,1.2263997699931493,25.694913871321063,25.694913871321063
60-69,76-100,284,139.16917419433594,24.0,23.391277313232422,26.411447525024414,0.17245198255244643,0.16807800612920806,0.18977943699043187,0.021701430861223794,1.129115232629194,21.701430861223795,21.701430861223795
40-49,76-100,1270,535.9049072265625,61.0,97.97866821289062,87.0838623046875,0.11382616426427172,0.18282845872778797,0.16249872156492753,-0.02032973716286044,0.8888043070300711,-20.329737162860443,20.329737162860443
18-24,76-100,2516,998.1099853515625,156.0,159.79605102539062,175.7015380859375,0.156295400596611,0.16009863979980718,0.1760342453883481,0.01593560558854094,1.0995361710034974,15.93560558854094,15.93560558854094
50-59,51-75,2084,1063.9312744140625,153.0,124.37654113769531,135.98135375976562,0.14380628117569105,0.11690279638240078,0.12781027969560765,0.010907483313206876,1.0933038699735411,10.907483313206876,10.907483313206876
25-29,51-75,2661,1295.857666015625,58.0,97.40037536621094,83.49909210205078,0.0447580019944109,0.07516286542926275,0.06443538846267394,-0.010727476966588814,0.8572769025592212,-10.727476966588814,10.727476966588814
25-29,76-100,2808,1071.3443603515625,122.0,130.76806640625,141.8506622314453,0.11387561694912512,0.12205978884635968,0.13240435800203113,0.010344569155671432,1.084750016802769,10.344569155671431,10.344569155671431
50-59,76-100,792,357.1820373535156,73.0,66.79070281982422,64.300048828125,0.20437757884153993,0.18699345385534916,0.18002038765595868,-0.006973066199390455,0.9627095705457981,-6.9730661993904555,6.9730661993904555
30-39,76-100,3232,1305.0242919921875,147.0,156.2442626953125,162.3055419921875,0.11264158138818768,0.11972517573354707,0.12436974774195171,0.004644572008404642,1.0387936119529388,4.644572008404642,4.644572008404642
